,nace_code,level,description
0,A,1,"AGRICULTURE, FORESTRY AND FISHING"
1,01,2,"Crop and animal production, hunting and related service activities"
2,01.1,3,Growing of non-perennial crops
3,01.11,4,"Growing of cereals (except rice), leguminous crops and oil seeds"
4,01.12,4,Growing of rice
5,01.13,4,"Growing of vegetables and melons, roots and tubers"
6,01.14,4,Growing of sugar cane
7,01.15,4,Growing of tobacco
8,01.16,4,Growing of fibre crops
9,01.19,4,Growing of other non-perennial crops
10,01.2,3,Growing of perennial crops
11,01.21,4,Growing of grapes
12,01.22,4,Growing of tropical and subtropical fruits
13,01.23,4,Growing of citrus fruits
14,01.24,4,Growing of pome fruits and stone fruits
15,01.25,4,Growing of other tree and bush fruits and nuts
16,01.26,4,Growing of oleaginous fruits
17,01.27,4,Growing of beverage crops
18,01.28,4,"Growing of spices, aromatic, drug and pharmaceutical crops"
19,01.29,4,Growing of other perennial crops
20,01.3,3,Plant propagation
21,01.30,4,Plant propagation
22,01.4,3,Animal production
23,01.41,4,Raising of dairy cattle
24,01.42,4,Raising of other cattle and buffaloes
25,01.43,4,Raising of horses and other equines
26,01.44,4,Raising of camels and camelids
27,01.45,4,Raising of sheep and goats
28,01.46,4,Raising of swine/pigs
29,01.47,4,Raising of poultry
30,01.49,4,Raising of other animals
31,01.5,3,Mixed farming
32,01.50,4,Mixed farming
33,01.6,3,Support activities to agriculture and post-harvest crop activities
34,01.61,4,Support activities for crop production
35,01.62,4,Support activities for animal production
36,01.63,4,Post-harvest crop activities
37,01.64,4,Seed processing for propagation
38,01.7,3,"Hunting, trapping and related service activities"
39,01.70,4,"Hunting, trapping and related service activities"
40,02,2,Forestry and logging
41,02.1,3,Silviculture and other forestry activities
42,02.10,4,Silviculture and other forestry activities
43,02.2,3,Logging
44,02.20,4,Logging
45,02.3,3,Gathering of wild growing non-wood products
46,02.30,4,Gathering of wild growing non-wood products
47,02.4,3,Support services to forestry
48,02.40,4,Support services to forestry
49,03,2,Fishing and aquaculture
50,03.1,3,Fishing
51,03.11,4,Marine fishing
52,03.12,4,Freshwater fishing
53,03.2,3,Aquaculture
54,03.21,4,Marine aquaculture
55,03.22,4,Freshwater aquaculture
56,B,1,MINING AND QUARRYING
57,05,2,Mining of coal and lignite
58,05.1,3,Mining of hard coal
59,05.10,4,Mining of hard coal
60,05.2,3,Mining of lignite
61,05.20,4,Mining of lignite
62,06,2,Extraction of crude petroleum and natural gas
63,06.1,3,Extraction of crude petroleum
64,06.10,4,Extraction of crude petroleum
65,06.2,3,Extraction of natural gas
66,06.20,4,Extraction of natural gas
67,07,2,Mining of metal ores
68,07.1,3,Mining of iron ores
69,07.10,4,Mining of iron ores
70,07.2,3,Mining of non-ferrous metal ores
71,07.21,4,Mining of uranium and thorium ores
72,07.29,4,Mining of other non-ferrous metal ores
73,08,2,Other mining and quarrying
74,08.1,3,"Quarrying of stone, sand and clay"
75,08.11,4,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
76,08.12,4,Operation of gravel and sand pits; mining of clays and kaolin
77,08.9,3,Mining and quarrying n.e.c.
78,08.91,4,Mining of chemical and fertiliser minerals
79,08.92,4,Extraction of peat
80,08.93,4,Extraction of salt
81,08.99,4,Other mining and quarrying n.e.c.
82,09,2,Mining support service activities
83,09.1,3,Support activities for petroleum and natural gas extraction
84,09.10,4,Support activities for petroleum and natural gas extraction
85,09.9,3,Support activities for other mining and quarrying
86,09.90,4,Support activities for other mining and quarrying
87,C,1,MANUFACTURING
88,10,2,Manufacture of food products
89,10.1,3,Processing and preserving of meat and production of meat products
90,10.11,4,Processing and preserving of meat
91,10.12,4,Processing and preserving of poultry meat
92,10.13,4,Production of meat and poultry meat products
93,10.2,3,"Processing and preserving of fish, crustaceans and molluscs"
94,10.20,4,"Processing and preserving of fish, crustaceans and molluscs"
95,10.3,3,Processing and preserving of fruit and vegetables
96,10.31,4,Processing and preserving of potatoes
97,10.32,4,Manufacture of fruit and vegetable juice
98,10.39,4,Other processing and preserving of fruit and vegetables
99,10.4,3,Manufacture of vegetable and animal oils and fats
100,10.41,4,Manufacture of oils and fats
101,10.42,4,Manufacture of margarine and similar edible fats
102,10.5,3,Manufacture of dairy products
103,10.51,4,Operation of dairies and cheese making
